Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
4.060975,15.4800000000001,624.25,0,12.3474461,0
4.0629,13.8600000000001,624.25,0,12.327678275,0
4.0646,12.2400000000001,624.25,0,12.3100934,0
4.066075,10.6200000000001,624.25,0,12.294691475,0
4.06625,1.26,648.325,466.548296775,12.720796775,0
4.0666,2.52,648.325,466.5502776,12.7227776,0
4.067125,3.78,648.325,466.553578975,12.726078975,0
4.067825,5.04,648.325,466.5582009,12.7307009,0
4.0687,6.3,648.325,466.564143375,12.736643375,0
4.06975,7.56,648.325,466.5714064,12.7439064,0
4.070975,8.82,648.325,466.579989975,12.752489975,0
4.072375,10.08,648.325,466.5898941,12.7623941,0
4.07395,11.34,648.325,466.601118775,12.773618775,0
4.0757,12.6,648.325,466.613664,12.786164,0
4.077625,13.86,648.325,466.627529775,12.800029775,0
4.079725,15.12,648.325,466.6427161,12.8152161,0
4.082,16.38,648.325,466.659222975,12.831722975,0
4.08445,17.64,648.325,466.6770504,12.8495504,0
4.087075,18.9,648.325,466.696198375,12.868698375,0
4.089875,20.16,648.325,466.7166669,12.8891669,0
4.09285,21.42,648.325,466.738455975,12.910955975,0
4.096,22.68,648.325,466.7615656,12.9340656,0
4.099325,23.94,648.325,466.785995775,12.958495775,0
4.102825,25.2,648.325,466.8117465,12.9842465,0
4.1065,26.46,648.325,466.838817775,13.011317775,0
4.11035,27.72,648.325,466.8672096,13.0397096,0
4.114375,28.98,648.325,466.896921975,13.069421975,0
4.118575,30.24,648.325,466.9279549,13.1004549,0
4.12295,31.5,648.325,466.960308375,13.132808375,0
4.1275,32.76,648.325,466.9939824,13.1664824,0
4.132225,34.02,648.325,467.028976975,13.201476975,0
4.137125,35.28,648.325,467.0652921,13.2377921,0
4.1422,36.54,648.325,467.102927775,13.275427775,0
4.14745,37.8,648.325,467.141884,13.314384,0
4.152875,39.06,648.325,467.182160775,13.354660775,0
4.158475,40.32,648.325,467.2237581,13.3962581,0
4.16425,41.58,648.325,467.266675975,13.439175975,0
4.1702,42.84,648.325,467.3109144,13.4834144,0
4.176325,44.1,648.325,467.356473375,13.528973375,0
4.182625,45.36,648.325,467.4033529,13.5758529,0
4.1891,46.62,648.325,467.451552975,13.624052975,0
4.19575,47.88,648.325,467.5010736,13.6735736,0
4.202575,49.14,648.325,467.551914775,13.724414775,0
